Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1450.0,1450.0,1460.0,1450.0,1460.0,1700
2020-01-03,1380.0,1380.0,1450.0,1380.0,1450.0,21200
2020-01-06,1470.0,1470.0,1470.0,1350.0,1390.0,12100
2020-01-07,1450.0,1450.0,1450.0,1400.0,1400.0,400
2020-01-08,1435.0,1435.0,1435.0,1435.0,1435.0,1000
2020-01-09,1435.0,1435.0,1435.0,1435.0,1435.0,0
2020-01-10,1415.0,1415.0,1415.0,1400.0,1400.0,200
2020-01-13,1400.0,1400.0,1415.0,1400.0,1415.0,600
2020-01-14,1400.0,1400.0,1400.0,1350.0,1350.0,8300
2020-01-15,1470.0,1470.0,1470.0,1470.0,1470.0,100
2020-01-16,1470.0,1470.0,1470.0,1470.0,1470.0,0
2020-01-17,1400.0,1400.0,1460.0,1400.0,1460.0,1200
2020-01-20,1400.0,1400.0,1400.0,1400.0,1400.0,800
2020-01-21,1450.0,1450.0,1450.0,1450.0,1450.0,100
2020-01-22,1450.0,1450.0,1450.0,1450.0,1450.0,0
2020-01-23,1430.0,1430.0,1430.0,1155.0,1400.0,1700
2020-01-24,1400.0,1400.0,1400.0,1400.0,1400.0,100
2020-01-27,1400.0,1400.0,1400.0,1400.0,1400.0,0
2020-01-28,1400.0,1400.0,1400.0,1400.0,1400.0,0
2020-01-29,1400.0,1400.0,1400.0,1385.0,1385.0,1000
2020-01-30,1400.0,1400.0,1400.0,1400.0,1400.0,0
2020-01-31,1400.0,1400.0,1400.0,1400.0,1400.0,0
2020-02-03,1400.0,1400.0,1400.0,1400.0,1400.0,2100
2020-02-04,1400.0,1400.0,1400.0,1400.0,1400.0,1000
2020-02-05,1375.0,1375.0,1375.0,1375.0,1375.0,2000
2020-02-06,1375.0,1375.0,1375.0,1375.0,1375.0,0
2020-02-07,1370.0,1370.0,1375.0,1370.0,1375.0,700
2020-02-10,1370.0,1370.0,1370.0,1370.0,1370.0,1600
2020-02-11,1370.0,1370.0,1370.0,1370.0,1370.0,0
2020-02-12,1370.0,1370.0,1370.0,1370.0,1370.0,0
2020-02-13,1370.0,1370.0,1370.0,1370.0,1370.0,0
2020-02-14,1400.0,1400.0,1400.0,1370.0,1370.0,500
2020-02-17,1400.0,1400.0,1400.0,1400.0,1400.0,0
2020-02-18,1400.0,1400.0,1400.0,1400.0,1400.0,0
2020-02-19,1400.0,1400.0,1400.0,1400.0,1400.0,0
2020-02-20,1380.0,1380.0,1380.0,1370.0,1370.0,1400
2020-02-21,1400.0,1400.0,1400.0,1380.0,1380.0,3000
2020-02-24,1390.0,1390.0,1390.0,1370.0,1370.0,2000
2020-02-25,1275.0,1275.0,1390.0,1275.0,1390.0,300
2020-02-26,1260.0,1260.0,1275.0,1260.0,1275.0,3400
2020-02-27,995.0,995.0,1175.0,945.0,1155.0,133700
2020-02-28,950.0,950.0,980.0,910.0,950.0,10200
2020-03-02,1095.0,1095.0,1150.0,945.0,950.0,13700
2020-03-03,1185.0,1185.0,1250.0,1125.0,1145.0,20700
2020-03-04,1190.0,1190.0,1195.0,1155.0,1195.0,1600
2020-03-05,1185.0,1185.0,1185.0,1185.0,1185.0,1100
2020-03-06,1185.0,1185.0,1185.0,1185.0,1185.0,300
2020-03-09,1180.0,1180.0,1180.0,1155.0,1155.0,1700
2020-03-10,1295.0,1295.0,1295.0,1295.0,1295.0,100
2020-03-11,1170.0,1170.0,1200.0,1170.0,1175.0,900
2020-03-12,1250.0,1250.0,1250.0,1100.0,1140.0,16000
2020-03-13,1250.0,1250.0,1250.0,1250.0,1250.0,0
2020-03-16,1190.0,1190.0,1250.0,1190.0,1250.0,300
2020-03-17,1200.0,1200.0,1250.0,1190.0,1200.0,7400
2020-03-18,1200.0,1200.0,1200.0,1200.0,1200.0,0
2020-03-19,1200.0,1200.0,1300.0,1150.0,1200.0,1300
2020-03-20,1150.0,1150.0,1150.0,1150.0,1150.0,100
2020-03-23,1190.0,1190.0,1350.0,1130.0,1150.0,4500
2020-03-24,1320.0,1320.0,1350.0,1130.0,1250.0,6500
2020-03-26,1235.0,1235.0,1270.0,1235.0,1250.0,9900
2020-03-27,1180.0,1180.0,1235.0,1150.0,1235.0,14500
2020-03-30,1185.0,1185.0,1250.0,1185.0,1250.0,1900
2020-03-31,1160.0,1160.0,1250.0,1130.0,1170.0,8900
2020-04-01,1190.0,1190.0,1220.0,1100.0,1160.0,7400
2020-04-02,1150.0,1150.0,1220.0,1110.0,1220.0,12000
2020-04-03,1150.0,1150.0,1210.0,1080.0,1150.0,13100
2020-04-06,1160.0,1160.0,1235.0,1070.0,1150.0,12700
2020-04-07,1100.0,1100.0,1215.0,1080.0,1160.0,51400
2020-04-08,1130.0,1130.0,1180.0,1130.0,1180.0,1700
2020-04-09,1095.0,1095.0,1180.0,1060.0,1170.0,2100
2020-04-13,1100.0,1100.0,1115.0,1050.0,1095.0,1900
2020-04-14,1090.0,1090.0,1160.0,1025.0,1160.0,24800
2020-04-15,1090.0,1090.0,1100.0,1015.0,1045.0,37200
2020-04-16,1085.0,1085.0,1090.0,1015.0,1090.0,2000
2020-04-17,1010.0,1010.0,1085.0,1010.0,1085.0,35700
2020-04-20,950.0,950.0,1135.0,940.0,1025.0,26100
2020-04-21,1005.0,1005.0,1030.0,930.0,930.0,1700
2020-04-22,1000.0,1000.0,1010.0,945.0,1010.0,308500
2020-04-23,1045.0,1045.0,1050.0,1000.0,1000.0,126400
2020-04-24,1045.0,1045.0,1045.0,1045.0,1045.0,0
2020-04-27,1035.0,1035.0,1040.0,975.0,990.0,129700
2020-04-28,1030.0,1030.0,1030.0,1030.0,1030.0,100
2020-04-29,1050.0,1050.0,1050.0,1050.0,1050.0,100
2020-04-30,1030.0,1030.0,1080.0,980.0,1050.0,54100
2020-05-04,1030.0,1030.0,1030.0,1000.0,1000.0,10100
2020-05-05,1015.0,1015.0,1030.0,960.0,960.0,20000
2020-05-06,975.0,975.0,1010.0,945.0,965.0,27200
2020-05-08,975.0,975.0,975.0,915.0,975.0,1500
2020-05-11,975.0,975.0,975.0,910.0,910.0,14100
2020-05-12,1045.0,1045.0,1075.0,910.0,915.0,18000
2020-05-13,1005.0,1005.0,1020.0,975.0,975.0,19200
2020-05-14,1045.0,1045.0,1045.0,1045.0,1045.0,100
2020-05-15,975.0,975.0,975.0,975.0,975.0,700
2020-05-18,1035.0,1035.0,1045.0,920.0,970.0,18200
2020-05-19,1000.0,1000.0,1075.0,965.0,1035.0,32900
2020-05-20,1030.0,1030.0,1075.0,960.0,1075.0,2600
2020-05-26,960.0,960.0,1030.0,960.0,975.0,36700
2020-05-27,980.0,980.0,1030.0,930.0,960.0,45800
2020-05-28,915.0,915.0,1075.0,915.0,975.0,247000
2020-05-29,880.0,880.0,915.0,855.0,915.0,77100
2020-06-02,870.0,870.0,875.0,855.0,875.0,16800
2020-06-03,815.0,815.0,900.0,810.0,880.0,97700
2020-06-04,825.0,825.0,870.0,800.0,815.0,181500
2020-06-05,805.0,805.0,845.0,770.0,835.0,138100
2020-06-08,820.0,820.0,860.0,800.0,805.0,121200
2020-06-09,835.0,835.0,885.0,835.0,860.0,87900
2020-06-10,835.0,835.0,835.0,835.0,835.0,5400
2020-06-11,835.0,835.0,835.0,835.0,835.0,0
2020-06-12,835.0,835.0,835.0,835.0,835.0,1700
2020-06-15,800.0,800.0,805.0,790.0,790.0,6100
2020-06-16,835.0,835.0,835.0,780.0,800.0,7300
2020-06-17,810.0,810.0,835.0,810.0,835.0,13700
2020-06-18,810.0,810.0,810.0,800.0,800.0,12800
2020-06-19,810.0,810.0,810.0,810.0,810.0,600
2020-06-22,800.0,800.0,800.0,795.0,795.0,23200
2020-06-23,785.0,785.0,800.0,785.0,800.0,8700
2020-06-24,790.0,790.0,800.0,785.0,795.0,11100
