Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,73.0,73.0,75.0,70.0,74.0,247700
2020-01-03,72.0,72.0,79.0,71.0,73.0,1888500
2020-01-06,69.0,69.0,74.0,67.0,72.0,632500
2020-01-07,71.0,71.0,72.0,65.0,65.0,472100
2020-01-08,72.0,72.0,73.0,67.0,70.0,608900
2020-01-09,72.0,72.0,73.0,70.0,71.0,178300
2020-01-10,70.0,70.0,73.0,70.0,71.0,395600
2020-01-13,70.0,70.0,70.0,69.0,70.0,182200
2020-01-14,70.0,70.0,75.0,70.0,75.0,63300
2020-01-15,79.0,79.0,90.0,70.0,70.0,9957000
2020-01-16,74.0,74.0,79.0,74.0,79.0,441700
2020-01-17,85.0,85.0,95.0,70.0,70.0,4839200
2020-01-20,95.0,95.0,99.0,85.0,85.0,4521000
2020-01-21,87.0,87.0,96.0,83.0,85.0,514200
2020-01-22,85.0,85.0,87.0,82.0,83.0,342800
2020-01-23,84.0,84.0,85.0,81.0,85.0,38300
2020-01-24,86.0,86.0,90.0,81.0,87.0,600200
2020-01-27,81.0,81.0,86.0,81.0,86.0,149700
2020-01-28,82.0,82.0,91.0,80.0,91.0,41400
2020-01-29,80.0,80.0,92.0,75.0,92.0,219800
2020-01-30,79.0,79.0,90.0,75.0,90.0,35100
2020-01-31,80.0,80.0,89.0,75.0,89.0,83400
2020-02-03,77.0,77.0,80.0,75.0,80.0,74300
2020-02-04,76.0,76.0,87.0,67.0,87.0,113200
2020-02-05,74.0,74.0,85.0,67.0,85.0,116100
2020-02-06,73.0,73.0,74.0,70.0,74.0,47800
2020-02-07,71.0,71.0,75.0,71.0,73.0,32400
2020-02-10,74.0,74.0,77.0,69.0,71.0,44800
2020-02-11,73.0,73.0,73.0,69.0,73.0,139700
2020-02-12,64.0,64.0,73.0,56.0,72.0,96500
2020-02-13,68.0,68.0,74.0,62.0,62.0,241900
2020-02-14,79.0,79.0,86.0,68.0,68.0,893400
2020-02-17,74.0,74.0,80.0,74.0,75.0,12000
2020-02-18,70.0,70.0,72.0,67.0,72.0,14200
2020-02-19,72.0,72.0,74.0,70.0,70.0,8000
2020-02-20,67.0,67.0,74.0,67.0,74.0,1400
2020-02-21,70.0,70.0,72.0,67.0,68.0,54300
2020-02-24,68.0,68.0,70.0,56.0,67.0,12800
2020-02-25,56.0,56.0,72.0,54.0,63.0,2029000
2020-02-26,56.0,56.0,61.0,56.0,59.0,53100
2020-02-27,52.0,52.0,60.0,50.0,60.0,1519200
2020-02-28,58.0,58.0,60.0,52.0,52.0,607600
2020-03-02,62.0,62.0,66.0,52.0,58.0,725300
2020-03-03,59.0,59.0,64.0,58.0,62.0,41600
2020-03-04,62.0,62.0,62.0,59.0,60.0,20600
2020-03-05,60.0,60.0,63.0,57.0,62.0,15100
2020-03-06,61.0,61.0,61.0,60.0,60.0,6100
2020-03-09,61.0,61.0,61.0,58.0,60.0,42300
2020-03-10,64.0,64.0,70.0,55.0,55.0,208400
2020-03-11,63.0,63.0,66.0,60.0,64.0,153600
2020-03-12,57.0,57.0,59.0,57.0,59.0,3200
2020-03-13,56.0,56.0,57.0,56.0,57.0,1400
2020-03-16,53.0,53.0,56.0,53.0,56.0,71100
2020-03-17,52.0,52.0,60.0,50.0,60.0,26000
2020-03-18,50.0,50.0,62.0,50.0,62.0,20500
2020-03-19,50.0,50.0,53.0,50.0,50.0,39100
2020-03-20,54.0,54.0,67.0,50.0,50.0,704700
2020-03-23,55.0,55.0,55.0,52.0,52.0,35600
2020-03-24,56.0,56.0,58.0,52.0,52.0,95100
2020-03-26,55.0,55.0,59.0,55.0,59.0,900
2020-03-27,56.0,56.0,60.0,52.0,52.0,6600
2020-03-30,58.0,58.0,58.0,53.0,53.0,3400
2020-03-31,55.0,55.0,58.0,54.0,54.0,2200
2020-04-01,54.0,54.0,59.0,53.0,59.0,11800
2020-04-02,57.0,57.0,58.0,51.0,51.0,2900
2020-04-03,55.0,55.0,59.0,54.0,54.0,5400
2020-04-06,59.0,59.0,59.0,53.0,53.0,3500
2020-04-07,58.0,58.0,60.0,55.0,60.0,16500
2020-04-08,55.0,55.0,55.0,54.0,54.0,1400
2020-04-09,58.0,58.0,58.0,52.0,52.0,11800
2020-04-13,55.0,55.0,58.0,54.0,54.0,4600
2020-04-14,54.0,54.0,56.0,54.0,54.0,19400
2020-04-15,57.0,57.0,58.0,52.0,52.0,1100
2020-04-16,57.0,57.0,57.0,57.0,57.0,500
2020-04-17,55.0,55.0,59.0,54.0,54.0,46000
2020-04-20,55.0,55.0,58.0,53.0,53.0,8300
2020-04-21,53.0,53.0,56.0,52.0,52.0,2500
2020-04-22,53.0,53.0,57.0,52.0,52.0,5100
2020-04-23,53.0,53.0,54.0,51.0,51.0,55900
2020-04-24,54.0,54.0,55.0,50.0,50.0,10500
2020-04-27,54.0,54.0,55.0,51.0,51.0,29600
2020-04-28,55.0,55.0,56.0,51.0,51.0,800
2020-04-29,53.0,53.0,56.0,52.0,52.0,1400
2020-04-30,53.0,53.0,53.0,51.0,51.0,228600
2020-05-04,51.0,51.0,54.0,51.0,54.0,468700
2020-05-05,54.0,54.0,54.0,52.0,54.0,4500
2020-05-06,54.0,54.0,56.0,53.0,56.0,30500
2020-05-08,55.0,55.0,56.0,53.0,54.0,8300
2020-05-11,55.0,55.0,56.0,53.0,56.0,21200
2020-05-12,55.0,55.0,56.0,54.0,56.0,600
2020-05-13,55.0,55.0,55.0,52.0,55.0,24700
2020-05-14,55.0,55.0,55.0,53.0,55.0,13500
2020-05-15,54.0,54.0,60.0,52.0,60.0,70100
2020-05-18,55.0,55.0,56.0,53.0,54.0,7700
2020-05-19,55.0,55.0,55.0,55.0,55.0,100
2020-05-20,55.0,55.0,58.0,55.0,58.0,600
2020-05-26,54.0,54.0,57.0,52.0,57.0,17500
2020-05-27,54.0,54.0,58.0,52.0,58.0,3800
2020-05-28,54.0,54.0,54.0,51.0,52.0,87300
2020-05-29,54.0,54.0,58.0,54.0,58.0,11500
2020-06-02,55.0,55.0,61.0,52.0,61.0,5200
2020-06-03,52.0,52.0,58.0,52.0,58.0,12300
2020-06-04,54.0,54.0,55.0,53.0,55.0,5900
2020-06-05,54.0,54.0,57.0,52.0,57.0,28600
